id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
Boke,1.1695490835711315,1.3805979684708845,0.5339506172839507,9,,,,,,,,,,,,,,blended_model,global
Bokoji town,0.5816482671002254,0.426392989176788,0.8194444444444444,12,,,,,,,,,,,,,,blended_model,global
Bora (OR),0.47064818893345545,0.28072343519537546,0.8852040816326531,14,,,,,,,,,,,,,,blended_model,global
Borena /Debresina,0.3222521102325487,0.2271866869324787,0.9718934911242604,13,,,,,,,,,,,,,,blended_model,global
Boset,0.5106344534037195,0.3795135783640648,0.86,15,,,,,,,,,,,,,,blended_model,global
Bugna,0.6232202723658309,0.5514755259804514,0.8341836734693877,14,,,,,,,,,,,,,,blended_model,global
Burayu,0.9558826239748021,0.9589037947967373,0.6049382716049383,9,,,,,,,,,,,,,,blended_model,global
Bure (AM),0.8893965911588511,0.6579140353438536,0.62,10,,,,,,,,,,,,,,blended_model,global
Bure town,0.9665991651964582,0.8836879911311274,0.5929752066115702,11,,,,,,,,,,,,,,blended_model,global
Burqua Dhintu,0.05946332290144915,0.0676191619059841,1.0,23,,,,,,,,,,,,,,blended_model,global
Chancho town,0.9517149562381003,0.9008121738492731,0.6111111111111112,9,,,,,,,,,,,,,,blended_model,global
Cheliya,0.7015505466933324,0.4947089301299637,0.7916666666666666,6,,,,,,,,,,,,,,blended_model,global
Chilga 1,0.5505061940248988,0.39587078078470656,0.8919753086419753,9,,,,,,,,,,,,,,blended_model,global
Chilga 2,0.5615645521935091,0.41015547379873235,0.8827160493827161,9,,,,,,,,,,,,,,blended_model,global
Chiro Zuria,0.5505382278862884,0.44030300248727744,0.8566666666666667,15,,,,,,,,,,,,,,blended_model,global
Chiro town,1.1697425861326423,1.35717511452141,0.595679012345679,9,,,,,,,,,,,,,,blended_model,global
Chole,0.34683177807481635,0.22637907005893937,0.9560546875,16,,,,,,,,,,,,,,blended_model,global
Cobi,0.9433513216357806,0.9865649558012407,0.5,6,,,,,,,,,,,,,,blended_model,global
Dabat,0.7784773817959875,0.6082266833868168,0.7006172839506173,9,,,,,,,,,,,,,,blended_model,global
Dabat town,0.8335364464421323,0.735725665150548,0.6388888888888888,9,,,,,,,,,,,,,,blended_model,global
Dano,0.5927241955070209,0.30498726187150876,0.9027777777777778,6,,,,,,,,,,,,,,blended_model,global
Daro Lebu,1.1468480135227717,1.3293981308905514,0.5617283950617284,9,,,,,,,,,,,,,,blended_model,global
Dawo,1.0461615641055653,1.2240589169794711,0.4387755102040816,7,,,,,,,,,,,,,,blended_model,global
Dawunt,0.47057944486631825,0.3478716083372639,0.889030612244898,14,,,,,,,,,,,,,,blended_model,global
Debark,0.7495173586734661,0.5553463674708199,0.7253086419753086,9,,,,,,,,,,,,,,blended_model,global
Debark town,0.6570655050754154,0.5380326604308578,0.7685185185185185,9,,,,,,,,,,,,,,blended_model,global
Debay Telatgen,0.28697093701633547,0.17361988251038654,0.9955621301775148,13,,,,,,,,,,,,,,blended_model,global
Debre Berhan town,0.4498753469200524,0.36595222968540475,0.9068047337278107,13,,,,,,,,,,,,,,blended_model,global
Debre Elias,0.7534273241429041,0.4536292138199598,0.735,10,,,,,,,,,,,,,,blended_model,global
Debre Libanos,0.298442889809776,0.2111316040206299,0.9674556213017751,13,,,,,,,,,,,,,,blended_model,global
Debre Markos town,0.6022330948458554,0.38088494438552833,0.8475,10,,,,,,,,,,,,,,blended_model,global
Debre Sina town,0.6000062144397917,0.5672798082362365,0.8239644970414202,13,,,,,,,,,,,,,,blended_model,global
Debre Tabor town,0.36613306253169714,0.2683901537265971,0.9881656804733728,13,,,,,,,,,,,,,,blended_model,global
Debrework town,0.3879436195626509,0.2831064523823097,0.9526627218934911,13,,,,,,,,,,,,,,blended_model,global
Dega Damot,0.7800587911646709,0.6107692670967315,0.6759259259259259,9,,,,,,,,,,,,,,blended_model,global
Degeluna Tijo,0.8456752356614029,0.808296194023021,0.7006172839506173,9,,,,,,,,,,,,,,blended_model,global
Degem,1.0628339466174306,1.013971094964155,0.6049382716049383,9,,,,,,,,,,,,,,blended_model,global
Degolo town,0.6538516948100173,0.6181827103299928,0.8387573964497042,13,,,,,,,,,,,,,,blended_model,global
Dehana,0.687348407772407,0.659369060758802,0.7946428571428571,14,,,,,,,,,,,,,,blended_model,global
Dejen,0.3146285898329286,0.18798503527418944,0.9896449704142012,13,,,,,,,,,,,,,,blended_model,global
Dejen town,0.33918014152693987,0.21866655335574206,0.977810650887574,13,,,,,,,,,,,,,,blended_model,global
Delanta,0.5406510199482921,0.4148965436614974,0.8635204081632653,14,,,,,,,,,,,,,,blended_model,global
Dembecha,0.7624806406169261,0.48030433916783294,0.7475,10,,,,,,,,,,,,,,blended_model,global
Denbecha town,0.7470421693335945,0.4598062608946044,0.7525,10,,,,,,,,,,,,,,blended_model,global
Dendi,0.7095503905906935,0.39203420783748283,0.795,10,,,,,,,,,,,,,,blended_model,global
Dera (AM),0.4755766812717167,0.37885713486328204,0.9230769230769231,13,,,,,,,,,,,,,,blended_model,global
Dera (OR),0.28847033639744346,0.19123905784136838,0.9733727810650887,13,,,,,,,,,,,,,,blended_model,global
Dera town,0.50854259247388,0.5002558210064058,0.8724489795918368,14,,,,,,,,,,,,,,blended_model,global
Dessie Zuria,0.6641028946315783,0.613982545373833,0.7895408163265306,14,,,,,,,,,,,,,,blended_model,global
Dessie town,0.4417282429766824,0.3016763132124515,0.9044444444444445,15,,,,,,,,,,,,,,blended_model,global
Diksis,0.43197054764673076,0.2620797659741113,0.9266666666666666,15,,,,,,,,,,,,,,blended_model,global
Dinsho,0.6103568607791653,0.6599096791651449,0.8165680473372781,13,,,,,,,,,,,,,,blended_model,global
Doba,0.6414234874820971,0.5675553540921565,0.8444444444444444,15,,,,,,,,,,,,,,blended_model,global
Dodola,0.6854677112164761,0.5011803662353306,0.7530864197530864,9,,,,,,,,,,,,,,blended_model,global
Dodola town,0.37850599927225415,0.27419904127531447,0.9571005917159763,13,,,,,,,,,,,,,,blended_model,global
Dodota,0.37569719068010293,0.27339338675814706,0.9169921875,16,,,,,,,,,,,,,,blended_model,global
Dugda,0.3958550761356916,0.4427904581469577,0.9078947368421053,19,,,,,,,,,,,,,,blended_model,global
East Belesa,0.5263624364107374,0.47601268585731493,0.8372781065088757,13,,,,,,,,,,,,,,blended_model,global
East Dembia,0.7664681415470628,0.5906793054787579,0.7098765432098766,9,,,,,,,,,,,,,,blended_model,global
East Esite,0.329814674717649,0.22579168153911558,0.992603550295858,13,,,,,,,,,,,,,,blended_model,global
Ebenat,0.3714989312921978,0.2715448843785786,0.9541420118343196,13,,,,,,,,,,,,,,blended_model,global
Ebenat town,0.2695260517359065,0.16143993875116613,1.0,13,,,,,,,,,,,,,,blended_model,global
Eferatana Gidem,0.7908015977577891,0.8536309153902104,0.7653061224489796,14,,,,,,,,,,,,,,blended_model,global
Ejere /Addis Alem,0.7002353657471385,0.5419491193026151,0.77,10,,,,,,,,,,,,,,blended_model,global
Ejersa Lafo,0.7368228436999581,0.4611151231247413,0.74,10,,,,,,,,,,,,,,blended_model,global
Eka Tafo,1.0236706373001652,1.0297351838621882,0.5833333333333334,9,,,,,,,,,,,,,,blended_model,global
Enarj Enawga,0.3342642083045907,0.2181825739465037,0.9807692307692307,13,,,,,,,,,,,,,,blended_model,global
Enebse Sarmder,0.3935006142671228,0.29412308506672014,0.9526627218934911,13,,,,,,,,,,,,,,blended_model,global
Enemay,0.34056406385898674,0.22361193201729138,0.9659763313609467,13,,,,,,,,,,,,,,blended_model,global
Enewari town,0.39264002062292136,0.30329153234167205,0.9319526627218935,13,,,,,,,,,,,,,,blended_model,global
Ensaro,0.34357526285381,0.2606630895986786,0.9571005917159763,13,,,,,,,,,,,,,,blended_model,global
Farta,0.3597916144161933,0.2609424782329912,0.9881656804733728,13,,,,,,,,,,,,,,blended_model,global
Fentale,0.5700479388250095,0.490194403299871,0.8444444444444444,15,,,,,,,,,,,,,,blended_model,global
Fiche town,0.2982173396943249,0.20845085083849277,0.9837278106508875,13,,,,,,,,,,,,,,blended_model,global
Filakit town,0.5559745543215963,0.4214930979957447,0.8545918367346939,14,,,,,,,,,,,,,,blended_model,global
Finote Selam town,0.7924802954936169,0.5341145140873295,0.745,10,,,,,,,,,,,,,,blended_model,global
Fogera,0.39287195451044377,0.2756987335776382,0.9659763313609467,13,,,,,,,,,,,,,,blended_model,global
Furi,0.9537891778896549,0.9548233692501706,0.6141975308641975,9,,,,,,,,,,,,,,blended_model,global
Galan,0.991809823523184,1.0678505570088626,0.6203703703703703,9,,,,,,,,,,,,,,blended_model,global
Galan Gudo,0.9638455715726756,1.0007700552909764,0.6172839506172839,9,,,,,,,,,,,,,,blended_model,global
Garba Guracha,0.9529791097916642,0.871332690607308,0.6327160493827161,9,,,,,,,,,,,,,,blended_model,global
Gasera,0.5222410963194762,0.47624022166809954,0.892578125,16,,,,,,,,,,,,,,blended_model,global
Gashena town,0.4411224255446136,0.3608152695169736,0.8928571428571429,14,,,,,,,,,,,,,,blended_model,global
Gaz Gibla,0.49720669208654517,0.3529391549215518,0.8905817174515236,19,,,,,,,,,,,,,,blended_model,global
Gazo,0.46324346125328464,0.3829592377445995,0.8839285714285714,14,,,,,,,,,,,,,,blended_model,global
Gedeb Asasa,0.9446198186322723,0.9737027745744411,0.6604938271604939,9,,,,,,,,,,,,,,blended_model,global
Gefersa Guje,0.8155239399321369,0.7784443264231204,0.7037037037037037,9,,,,,,,,,,,,,,blended_model,global
Gerar Jarso,0.2769501503215601,0.18650765180276468,0.9911242603550295,13,,,,,,,,,,,,,,blended_model,global
Gidan,0.4404192161191247,0.3615964124023384,0.896814404432133,19,,,,,,,,,,,,,,blended_model,global
Gimbichu,0.33196849065759476,0.23602744807420933,0.9591836734693877,14,,,,,,,,,,,,,,blended_model,global
Gimeba town,0.7154035257125843,0.6805595748996882,0.7844387755102041,14,,,,,,,,,,,,,,blended_model,global
Ginde Beret,0.963956242556185,0.9781479772383884,0.4722222222222222,6,,,,,,,,,,,,,,blended_model,global
Ginir,0.009582576679720253,0.01011472125885546,1.0,23,,,,,,,,,,,,,,blended_model,global
Ginir town,0.027411331748791515,0.028989809397383434,1.0,23,,,,,,,,,,,,,,blended_model,global
Gishe Rabel,0.7213388049457746,0.6800904164823601,0.8010204081632653,14,,,,,,,,,,,,,,blended_model,global
Goba (OR),0.4651834210756771,0.8023681877837605,0.9546313799621928,23,,,,,,,,,,,,,,blended_model,global
Goba Koricha,1.3545005928384704,1.6158997164212958,0.6049382716049383,9,,,,,,,,,,,,,,blended_model,global
Goba town,0.3633557251197867,0.35383998613523043,0.925103305785124,22,,,,,,,,,,,,,,blended_model,global
Golocha,0.38119040741582894,0.27716481378294144,0.953125,16,,,,,,,,,,,,,,blended_model,global
Gololcha Bale,0.06348278949724621,0.08070869285939086,1.0,23,,,,,,,,,,,,,,blended_model,global
Goncha Siso Enebse,0.3236200294825334,0.20935742282529574,0.9896449704142012,13,,,,,,,,,,,,,,blended_model,global
Gondar town,0.7776244112416182,0.6261699115645616,0.6512345679012346,9,,,,,,,,,,,,,,blended_model,global
Gonder Zuria,0.7712719908145795,0.6588806898410033,0.6574074074074074,9,,,,,,,,,,,,,,blended_model,global
Goro (Bale),0.033428093238987204,0.04016072581493899,1.0,23,,,,,,,,,,,,,,blended_model,global
Goro (SW Shewa),0.7255097301290637,0.565014706730142,0.7378472222222222,12,,,,,,,,,,,,,,blended_model,global
Guba Lafto,0.5545073289676069,0.40620529374447917,0.8647959183673469,14,,,,,,,,,,,,,,blended_model,global
Gumbi Bordede,0.5999334057632348,0.5369060905920182,0.8433333333333334,15,,,,,,,,,,,,,,blended_model,global
Guna,0.4082485354892432,0.31143719363211764,0.92578125,16,,,,,,,,,,,,,,blended_model,global
